Category,Function,Line Number,File Path,Solidity File Name,Line Content
SWC-101-Integer Overflow and Underflow,apply,L98,DAppSCAN-source/contracts/consensys-TCR/tcr-b206561249ed1779f10aa4ba390ffee676148134/contracts/Registry.sol,Registry.sol,"listing.applicationExpiry = block.timestamp + parameterizer.get(""applyStageLen"");"
SWC-120-Weak Sources of Randomness from Chain Attributes,relayEntry,L452-L494,DAppSCAN-source/contracts/consensys-Thesis_tBTC_and_Keep/keep-core-b76b418f04bc94030d10aff18220d8e560a2ab09/contracts/solidity/contracts/KeepRandomBeaconOperator.sol,KeepRandomBeaconOperator.sol,function relayEntry(bytes memory _groupSignature) public nonReentrant {
SWC-114-Transaction Order Dependence,sponsorProposal,L266-305,DAppSCAN-source/contracts/consensys-The_LAO/moloch-4bc443f4dad60279b47978fc6987bb978d3dfc58/contracts/Moloch.sol,Moloch.sol,function sponsorProposal(uint256 proposalId) public nonReentrant onlyDelegate {
SWC-105-Unprotected Ether Withdrawal,processProposal,L408-413,DAppSCAN-source/contracts/consensys-The_LAO/moloch-4bc443f4dad60279b47978fc6987bb978d3dfc58/contracts/Moloch.sol,Moloch.sol,if (!emergencyProcessing) {
SWC-101-Integer Overflow and Underflow,max,L638-640,DAppSCAN-source/contracts/consensys-The_LAO/moloch-4bc443f4dad60279b47978fc6987bb978d3dfc58/contracts/Moloch.sol,Moloch.sol,"function max(uint256 x, uint256 y) internal pure returns (uint256) {"
SWC-121-Missing Protection against Signature Replay Attacks,_validateWithdrawSignature,L308-330,DAppSCAN-source/contracts/consensys-Umbra_Smart_Contracts/umbra-protocol-fa2e17367d66a85f20c77299ded5942d9ab64fe0/contracts/contracts/Umbra.sol,Umbra.sol,function _validateWithdrawSignature(
SWC-135-Code With No Effects,zDeposit,L44-52,DAppSCAN-source/contracts/consensys-Zer0_zAuction/zAuction-50d3b6ce6d7ee00e7181d5b2a9a2eedcdd3fdb72/contracts/zAuctionAccountant.sol,zAuctionAccountant.sol,function zDeposit(address to) external payable onlyZauction {
SWC-114-Transaction Order Dependence,SetZauction,L60-68,DAppSCAN-source/contracts/consensys-Zer0_zAuction/zAuction-50d3b6ce6d7ee00e7181d5b2a9a2eedcdd3fdb72/contracts/zAuctionAccountant.sol,zAuctionAccountant.sol,function SetZauction(address zauctionaddress) external onlyAdmin{
SWC-114-Transaction Order Dependence,reduceWeight,L124-L132,DAppSCAN-source/contracts/consensys-Zer0_zBanc/zBanc-48da0ac1eebbe31a74742f1ae4281b156f03a4bc/solidity/contracts/converter/types/liquid-token/DynamicLiquidTokenConverter.sol,DynamicLiquidTokenConverter.sol,// SWC-107-Reentrancy: L125-L130
SWC-107-Reentrancy,reduceWeight,L125-L130,DAppSCAN-source/contracts/consensys-Zer0_zBanc/zBanc-48da0ac1eebbe31a74742f1ae4281b156f03a4bc/solidity/contracts/converter/types/liquid-token/DynamicLiquidTokenConverter.sol,DynamicLiquidTokenConverter.sol,function reduceWeight(IERC20Token _reserveToken)
SWC-135-Code With No Effects,N/A,L7,DAppSCAN-source/contracts/consensys-Zer0_zBanc/zBanc-48da0ac1eebbe31a74742f1ae4281b156f03a4bc/solidity/contracts/converter/types/liquid-token/DynamicLiquidTokenConverterFactory.sol,DynamicLiquidTokenConverterFactory.sol,"import ""../../interfaces/ITypedConverterFactory.sol"";"
SWC-135-Code With No Effects,N/A,L8-11,DAppSCAN-source/contracts/consensys-Zer0_zNS/zNS-b05e503ea1ee87dbe62b1d58426aaa518068e395/contracts/Registrar.sol,Registrar.sol,// SWC-135-Code With No Effects: L8-11
SWC-135-Code With No Effects,addController,L51-67,DAppSCAN-source/contracts/consensys-Zer0_zNS/zNS-b05e503ea1ee87dbe62b1d58426aaa518068e395/contracts/Registrar.sol,Registrar.sol,// SWC-135-Code With No Effects: L51-67
SWC-105-Unprotected Ether Withdrawal,approveDomainBid,L92-101,DAppSCAN-source/contracts/consensys-Zer0_zNS/zNS-b05e503ea1ee87dbe62b1d58426aaa518068e395/contracts/StakingController.sol,StakingController.sol,// SWC-105-Unprotected Ether Withdrawal: L92-101
SWC-122-Lack of Proper Signature Verification,fulfillDomainBid,L121-153,DAppSCAN-source/contracts/consensys-Zer0_zNS/zNS-b05e503ea1ee87dbe62b1d58426aaa518068e395/contracts/StakingController.sol,StakingController.sol,"uint256 royaltyAmount,"
SWC-117-Signature Malleability,fulfillDomainBid,L135,DAppSCAN-source/contracts/consensys-Zer0_zNS/zNS-b05e503ea1ee87dbe62b1d58426aaa518068e395/contracts/StakingController.sol,StakingController.sol,// SWC-117-Signature Malleability: L135
SWC-108-State Variable Default Visibility,N/A,L23,DAppSCAN-source/contracts/Cystack-AOC BEP-20 - v1.3/AOC_BEP0x53cB59f3Ee1035daD6b63F88d9150EA70a1f2605/@openzeppelin/contracts-upgradeable/access/OwnableUpgradeable.sol,OwnableUpgradeable.sol,address private _owner;
SWC-118-Incorrect Constructor Name,initialize,L115 - L126,DAppSCAN-source/contracts/Cystack-AOC BEP-20 - v1.3/AOC_BEP0x53cB59f3Ee1035daD6b63F88d9150EA70a1f2605/contracts/AOC_BEP.sol,AOC_BEP.sol,"_mint(_msgSender(), (1000 * 10**9 * 10**18)); //mint the initial total supply"
SWC-135-Code With No Effects,withdrawBNBFromContract,L362,DAppSCAN-source/contracts/Cystack-AOC BEP-20 - v1.3/AOC_BEP0x53cB59f3Ee1035daD6b63F88d9150EA70a1f2605/contracts/AOC_BEP.sol,AOC_BEP.sol,"function withdrawBNBFromContract(address payable recipient, uint256 amount) external onlyOwner payable {"
SWC-105-Unprotected Ether Withdrawal,withdrawBNBFromContract,L362,DAppSCAN-source/contracts/Cystack-AOC BEP-20 - v1.3/AOC_BEP0x53cB59f3Ee1035daD6b63F88d9150EA70a1f2605/contracts/AOC_BEP.sol,AOC_BEP.sol,"function withdrawBNBFromContract(address payable recipient, uint256 amount) external onlyOwner payable {"
SWC-103-Floating Pragma,N/A,L2,DAppSCAN-source/contracts/Cystack-AOC BEP-20 - v1.3/AOC_BEP0x53cB59f3Ee1035daD6b63F88d9150EA70a1f2605/contracts/library/DateTime.sol,DateTime.sol,pragma solidity ^0.8.0;
SWC-118-Incorrect Constructor Name,initialize,L116,DAppSCAN-source/contracts/Cystack-AOC ERC-20 V2 - v1.2/AOC_ERC200x41cc978FaE6f34B25553A498D1e245FDF944FF3E/contracts/AOC_ERC20.sol,AOC_ERC20.sol,ltafPercentage = 60;
SWC-100-Function Default Visibility,withdraw,L138,DAppSCAN-source/contracts/Hacken-A2DAO/vesting-bd6b23f7d4d6052f8eae6c15ec5d9b6ebd82867f/Staking.sol,Staking.sol,"function withdraw(uint256 _pid, uint256 _amount) public override nonReentrant updateReward(_pid, msg.sender) {"
SWC-100-Function Default Visibility,totalStaked,L203,DAppSCAN-source/contracts/Hacken-A2DAO/vesting-bd6b23f7d4d6052f8eae6c15ec5d9b6ebd82867f/Staking.sol,Staking.sol,function totalStaked(uint256 _pid) public view returns (uint256) {
SWC-100-Function Default Visibility,userStaked,L208,DAppSCAN-source/contracts/Hacken-A2DAO/vesting-bd6b23f7d4d6052f8eae6c15ec5d9b6ebd82867f/Staking.sol,Staking.sol,"function userStaked(uint256 _pid, address _user) public view returns (uint256) {"
SWC-100-Function Default Visibility,userRewards,L213,DAppSCAN-source/contracts/Hacken-A2DAO/vesting-bd6b23f7d4d6052f8eae6c15ec5d9b6ebd82867f/Staking.sol,Staking.sol,"function userRewards(uint256 _pid, address _account) public view returns (uint256) {"
SWC-135-Code With No Effects,getOwner,L244 - L246,DAppSCAN-source/contracts/Hacken-Amoss/code/Amoss.sol,Amoss.sol,function getOwner() external override view returns (address){
SWC-102-Outdated Compiler Version,N/A,L2,DAppSCAN-source/contracts/Hacken-Argon Foundation/platform-contracts-8996d21499ede3f2eb36320ded9563f5467a0fa6/ArgonFreelancers.sol,ArgonFreelancers.sol,pragma solidity ^0.4.24;
SWC-102-Outdated Compiler Version,N/A,L8,DAppSCAN-source/contracts/Hacken-Arkania Protocol/Code-4fe28aed2e2549ba649ed2edb6a11ef7d2ac73fd/Ania.sol,Ania.sol,pragma solidity ^0.8.0;
SWC-103-Floating Pragma,N/A,L8,DAppSCAN-source/contracts/Hacken-Arkania Protocol/Code-4fe28aed2e2549ba649ed2edb6a11ef7d2ac73fd/Ania.sol,Ania.sol,pragma solidity ^0.8.0;
SWC-102-Outdated Compiler Version,N/A,L4,DAppSCAN-source/contracts/Hacken-Arkania Protocol/Code-4fe28aed2e2549ba649ed2edb6a11ef7d2ac73fd/AniaLottery.sol,AniaLottery.sol,pragma solidity ^0.8.2;
SWC-103-Floating Pragma,N/A,L4,DAppSCAN-source/contracts/Hacken-Arkania Protocol/Code-4fe28aed2e2549ba649ed2edb6a11ef7d2ac73fd/AniaLottery.sol,AniaLottery.sol,pragma solidity ^0.8.2;
SWC-105-Unprotected Ether Withdrawal,withdraw,L119 - L121,DAppSCAN-source/contracts/Hacken-Arkania Protocol/Code-4fe28aed2e2549ba649ed2edb6a11ef7d2ac73fd/AniaLottery.sol,AniaLottery.sol,function withdraw() public payable onlyOwner {
SWC-102-Outdated Compiler Version,N/A,L4,DAppSCAN-source/contracts/Hacken-Arkania Protocol/Code-4fe28aed2e2549ba649ed2edb6a11ef7d2ac73fd/AniaStake.sol,AniaStake.sol,pragma solidity ^0.8.2;
SWC-103-Floating Pragma,N/A,L4,DAppSCAN-source/contracts/Hacken-Arkania Protocol/Code-4fe28aed2e2549ba649ed2edb6a11ef7d2ac73fd/AniaStake.sol,AniaStake.sol,pragma solidity ^0.8.2;
SWC-128-DoS With Block Gas Limit,N/A,L185 - L194    ,DAppSCAN-source/contracts/Hacken-Arkania Protocol/Code-4fe28aed2e2549ba649ed2edb6a11ef7d2ac73fd/AniaStake.sol,AniaStake.sol,for (uint256 i = 0; i < users.length; i++) {
SWC-128-DoS With Block Gas Limit,executeAddPools,L189,DAppSCAN-source/contracts/Hacken-Binosaur/binosaur-427e02b518bac3968c917a733bd5ed3b98679ca1/MasterChef.sol,MasterChef.sol,for (uint256 pid = 0; pid < length; ++pid) {
SWC-128-DoS With Block Gas Limit,executeUpdateAllocPoint,L259,DAppSCAN-source/contracts/Hacken-Binosaur/binosaur-427e02b518bac3968c917a733bd5ed3b98679ca1/MasterChef.sol,MasterChef.sol,for (uint256 index = 0; index < length; ++index) {
SWC-128-DoS With Block Gas Limit,end,L393 - L401,DAppSCAN-source/contracts/Hacken-Bitcoin SB-V2/code/BSB_StakingSmartStakers.sol,BSB_StakingSmartStakers.sol,for(uint i = 0; i < holders.length(); i = i.add(1)){
SWC-128-DoS With Block Gas Limit,getRewardsLeft,L416 - L418,DAppSCAN-source/contracts/Hacken-Bitcoin SB-V2/code/BSB_StakingSmartStakers.sol,BSB_StakingSmartStakers.sol,for(uint i = 0; i < holders.length(); i = i.add(1)){
SWC-103-Floating Pragma,N/A,L2,DAppSCAN-source/contracts/Hacken-Bolide-V1/contracts-9ca0cf09d7707bcbd942f0000f11059c5fb9c026/farming/contracts/libs/Migrations.sol,Migrations.sol,pragma solidity ^0.8.0;
SWC-103-Floating Pragma,N/A,L2,DAppSCAN-source/contracts/Hacken-Bolide-V2/contracts-9ca0cf09d7707bcbd942f0000f11059c5fb9c026/farming/contracts/libs/Migrations.sol,Migrations.sol,pragma solidity ^0.8.0;
SWC-108-State Variable Default Visibility,initialize,L63 - L76,DAppSCAN-source/contracts/Hacken-Bolide-V2/contracts-9ca0cf09d7707bcbd942f0000f11059c5fb9c026/strategies/low_risk/contracts/Storage.sol,Storage.sol,mapping(uint256 => EarnBLID) private earnBLID;
SWC-108-State Variable Default Visibility,N/A,L112,DAppSCAN-source/contracts/Hacken-Bolide-V3/contracts-9ca0cf09d7707bcbd942f0000f11059c5fb9c026/token/contracts/Bolide.sol,Bolide.sol,uint256 timestampCreated;
SWC-103-Floating Pragma,N/A,L2,DAppSCAN-source/contracts/Hacken-Bolide-V3/contracts-aaf0ab6601b2cdd45c1064ec5978b05f5a0436aa/farming/contracts/MasterChef.sol,MasterChef.sol,pragma solidity ^0.8.0;
SWC-102-Outdated Compiler Version,N/A,L2,DAppSCAN-source/contracts/Hacken-Bolide-V3/contracts-aaf0ab6601b2cdd45c1064ec5978b05f5a0436aa/vesting/contracts/TreasuryVester.sol,TreasuryVester.sol,pragma solidity 0.6.12;
SWC-128-DoS With Block Gas Limit,_massUpdatePools,L196-201,DAppSCAN-source/contracts/Hacken-BullRun Finance/contracts-9d9ced16b56f977c17afee231e745c7a9e55c84e/BullMasterchef.sol,BullMasterchef.sol,function _massUpdatePools() private {
SWC-105-Unprotected Ether Withdrawal,setValidators,L99-120,DAppSCAN-source/contracts/Hacken-Centrality/bridge-contracts-047cecbfc86f10cdc3310c6ebb399de2e7c737a3/CENNZnetBridge.sol,CENNZnetBridge.sol,function setValidators(
SWC-100-Function Default Visibility,getLockedAmount,L55,DAppSCAN-source/contracts/Hacken-CGU/CGUToken0x747D74dB20cc422F39ab54EDB2A3Ce21f3C98AF1/contracts/CGUToken.sol,CGUToken.sol,function getLockedAmount(address account) public view returns (uint256) {
SWC-100-Function Default Visibility,transferAndCall,L80,DAppSCAN-source/contracts/Hacken-CGU/CGUToken0x747D74dB20cc422F39ab54EDB2A3Ce21f3C98AF1/contracts/CGUToken.sol,CGUToken.sol,// SWC-100-Function Default Visibility: L80
SWC-116-Block values as a proxy for time,checkLocks,L242,DAppSCAN-source/contracts/Hacken-Chimeras/chim-chain-094d95aaed7adc95fafb60ebad6c64c7588f3cd2/ChimVesting.sol,ChimVesting.sol,afterReleaseTime = block.timestamp.sub(_releaseTime);
SWC-103-Floating Pragma,N/A,L3,DAppSCAN-source/contracts/Hacken-Codex on Althash/Codex-Rewards-Platform-d364d0ef9258dd468f8202a352c58724d6b65638/contracts/CDEX_rewards.sol,CDEX_rewards.sol,pragma solidity ^0.4.21;
SWC-104-Unchecked Call Return Value,stake,L362 - L391,DAppSCAN-source/contracts/Hacken-Codex on Althash/Codex-Rewards-Platform-d364d0ef9258dd468f8202a352c58724d6b65638/contracts/CDEX_rewards.sol,CDEX_rewards.sol,/// @param amount The amount of tokens to be staked by the user.
SWC-104-Unchecked Call Return Value,withdraw,L395 - L420,DAppSCAN-source/contracts/Hacken-Codex on Althash/Codex-Rewards-Platform-d364d0ef9258dd468f8202a352c58724d6b65638/contracts/CDEX_rewards.sol,CDEX_rewards.sol,/// @param amount The amount of tokens to be withdrawn.
SWC-104-Unchecked Call Return Value,withdraw,L418,DAppSCAN-source/contracts/Hacken-Codex on Althash/Codex-Rewards-Platform-d364d0ef9258dd468f8202a352c58724d6b65638/contracts/CDEX_rewards.sol,CDEX_rewards.sol,"CDEXToken.transfer(msg.sender, amount);"
SWC-104-Unchecked Call Return Value,getReward,L424 - L456,DAppSCAN-source/contracts/Hacken-Codex on Althash/Codex-Rewards-Platform-d364d0ef9258dd468f8202a352c58724d6b65638/contracts/CDEX_rewards.sol,CDEX_rewards.sol,// SWC-104-Unchecked Call Return Value: L424 - L456
SWC-104-Unchecked Call Return Value,depositTokens,L486 - L498,DAppSCAN-source/contracts/Hacken-Codex on Althash/Codex-Rewards-Platform-d364d0ef9258dd468f8202a352c58724d6b65638/contracts/CDEX_rewards.sol,CDEX_rewards.sol,///        is in the integer format (without the 8 zeroes).
SWC-135-Code With No Effects,Recovered,L615,DAppSCAN-source/contracts/Hacken-Codex on Althash/Codex-Rewards-Platform-d364d0ef9258dd468f8202a352c58724d6b65638/contracts/CDEX_rewards.sol,CDEX_rewards.sol,"event Recovered(address token, uint256 amount);"
SWC-128-DoS With Block Gas Limit,whitelistAddresses,L1795,DAppSCAN-source/contracts/Hacken-Constellation Network/LatticeStakingPool0x74299A718b2c44483a27325d7725F0B2646DE3B1/LatticeStakingPool0x74299A718b2c44483a27325d7725F0B2646DE3B1.sol,LatticeStakingPool0x74299A718b2c44483a27325d7725F0B2646DE3B1.sol,for (uint i=0; i < _newAddressesToWhitelist.length; i++) {
SWC-100-Function Default Visibility,notifyRewardAmounts,L52,DAppSCAN-source/contracts/Hacken-Crodex/contracts-33725cd8d7aa018022a54aaa0e7fa29a89a4c2a4/staking/StakingRewardsFactory.sol,StakingRewardsFactory.sol,function notifyRewardAmounts() public {
SWC-135-Code With No Effects,N/A,L7,DAppSCAN-source/contracts/Hacken-Deflyball-V2/code/Token.sol,Token.sol,import '@openzeppelin/contracts/security/Pausable.sol';
SWC-103-Floating Pragma,N/A,L7,DAppSCAN-source/contracts/Hacken-DeHealth HLT Network/code/DeHealthToken.sol,DeHealthToken.sol,pragma solidity ^0.8.0;
SWC-103-Floating Pragma,N/A,L7,DAppSCAN-source/contracts/Hacken-DeHealth HLT Network/code/DProxy.sol,DProxy.sol,pragma solidity ^0.8.6;
SWC-103-Floating Pragma,N/A,L1,DAppSCAN-source/contracts/Hacken-Diamond Back/DiamondBack-contract-025f40496c88a1c7dda9c3bf294761397c9925d1/MyToken.sol,MyToken.sol,pragma solidity ^0.8.2;
SWC-103-Floating Pragma,N/A,L3,DAppSCAN-source/contracts/Hacken-Edain Technologies AG/edain-smartcontracts-9f0c4a5ffb97f23c7b5462420ad1f663301f69ba/contracts/EDAINStaking.sol,EDAINStaking.sol,pragma solidity ^0.8.2;
SWC-103-Floating Pragma,N/A,L3,DAppSCAN-source/contracts/Hacken-Edain Technologies AG/edain-smartcontracts-9f0c4a5ffb97f23c7b5462420ad1f663301f69ba/contracts/EDAINToken.sol,EDAINToken.sol,pragma solidity ^0.8.2;
SWC-131-Presence of unused variables,allowedTxTypes,L184,DAppSCAN-source/contracts/Hacken-Etherlite/pos-contracts-e56317bd80a0368a1d9106361c188b589a419b94/contracts/TxPermission.sol,TxPermission.sol,"uint256 _value, // SWC-131-Presence of unused variables: L184"
SWC-131-Presence of unused variables,isInitialized,L313-L314,DAppSCAN-source/contracts/Hacken-Etherlite/pos-contracts-e56317bd80a0368a1d9106361c188b589a419b94/contracts/TxPermission.sol,TxPermission.sol,uint32 internal constant CREATE = 0x04;
SWC-103-Floating Pragma,N/A,L2,DAppSCAN-source/contracts/Hacken-Fidometa-V1/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,pragma solidity 0.8.11;
SWC-119-Shadowing State Variables,_approve,L512 - L521,DAppSCAN-source/contracts/Hacken-Fidometa-V1/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,function _approve(
SWC-135-Code With No Effects,setCharges,L555 - L587,DAppSCAN-source/contracts/Hacken-Fidometa-V1/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,function setCharges(
SWC-128-DoS With Block Gas Limit,_getCurrentSupply,L775 - L782,DAppSCAN-source/contracts/Hacken-Fidometa-V1/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,for (uint256 i = 0; i < cacheLength; i++) {
SWC-135-Code With No Effects,takeCharges,L788 - L832,DAppSCAN-source/contracts/Hacken-Fidometa-V1/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,* @dev take charges as per percentage
SWC-135-Code With No Effects,_tokenTransfer,L978 - L980,DAppSCAN-source/contracts/Hacken-Fidometa-V1/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,} else {
SWC-101-Integer Overflow and Underflow,unlock,L1009-L1010,DAppSCAN-source/contracts/Hacken-Fidometa-V1/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,uint256 timePassed = block.timestamp -
SWC-135-Code With No Effects,transferWithLock,L1043 - L1046,DAppSCAN-source/contracts/Hacken-Fidometa-V1/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,require(
SWC-135-Code With No Effects,_transferFromExcluded,L1060 - L1070,DAppSCAN-source/contracts/Hacken-Fidometa-V1/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,
SWC-103-Floating Pragma,N/A,L2,DAppSCAN-source/contracts/Hacken-Fidometa-V2/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,pragma solidity 0.8.11;
SWC-119-Shadowing State Variables,_approve,L513 - L515,DAppSCAN-source/contracts/Hacken-Fidometa-V2/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,"address owner,"
SWC-135-Code With No Effects,setCharges,L555 - L587,DAppSCAN-source/contracts/Hacken-Fidometa-V2/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,function setCharges(
SWC-128-DoS With Block Gas Limit,_getCurrentSupply,L775 - L782,DAppSCAN-source/contracts/Hacken-Fidometa-V2/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,for (uint256 i = 0; i < cacheLength; i++) {
SWC-135-Code With No Effects,takeCharges,L789 - L832,DAppSCAN-source/contracts/Hacken-Fidometa-V2/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,*/
SWC-135-Code With No Effects,_tokenTransfer,L978 - L980,DAppSCAN-source/contracts/Hacken-Fidometa-V2/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,} else {
SWC-101-Integer Overflow and Underflow,unlock,L1009 - L1010,DAppSCAN-source/contracts/Hacken-Fidometa-V2/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,uint256 timePassed = block.timestamp -
SWC-135-Code With No Effects,transferWithLock,L1047 - L1050,DAppSCAN-source/contracts/Hacken-Fidometa-V2/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,require(
SWC-135-Code With No Effects,_transferFromExcluded,L1062 - L1071,DAppSCAN-source/contracts/Hacken-Fidometa-V2/Smart_Contract-66f43e8644a20ed2ebbc4db94d6b2dcc797ac1c7/FidoMeta.sol,FidoMeta.sol,function _transferFromExcluded(
SWC-135-Code With No Effects,constructor,L55,DAppSCAN-source/contracts/Hacken-FoilNetwork/tge-seed-round-smart-contract-D3522A4628CE735058E57852AB1425600D296FC8/Lockup.sol,Lockup.sol,"require(_foilWallet != address(0), ""The wallet address can not zero."");"
SWC-100-Function Default Visibility,setAdmin,L85,DAppSCAN-source/contracts/Hacken-Forbitspace/forbitspaceX-bep20-19fc2b037b743e9f795709c72f004efe1109aaaf/contracts/libraries/Payment.sol,Payment.sol,function setAdmin(address newAdmin) public override onlyOwner {
SWC-135-Code With No Effects,_msgData,L25 - L27,DAppSCAN-source/contracts/Hacken-Galeon/code/code.sol,code.sol,function _msgData() internal view virtual returns (bytes calldata) {
SWC-128-DoS With Block Gas Limit,tokenOfOwnerByIndex,L102 - L125,DAppSCAN-source/contracts/Hacken-Game of Silks/code/ERC721A.sol,ERC721A.sol,"function tokenOfOwnerByIndex(address owner, uint256 index)"
SWC-135-Code With No Effects,_numberMinted,L153 - L159,DAppSCAN-source/contracts/Hacken-Game of Silks/code/ERC721A.sol,ERC721A.sol,function _numberMinted(address owner) internal view returns (uint256) {
SWC-135-Code With No Effects,_setOwnersExplicit,L457 - L476,DAppSCAN-source/contracts/Hacken-Game of Silks/code/ERC721A.sol,ERC721A.sol,function _setOwnersExplicit(uint256 quantity) internal {
SWC-100-Function Default Visibility,claim,L202 - L205,DAppSCAN-source/contracts/Hacken-GOGOcoin/gogo-contracts-0204c6d60f7aaa5c195573fbd0e8388c9bc4a2ef/contracts/gov/GovStaking.sol,GovStaking.sol,function claim() public nonReentrant whenNotPaused {
SWC-100-Function Default Visibility,claimAll,L208 - L212,DAppSCAN-source/contracts/Hacken-GOGOcoin/gogo-contracts-0204c6d60f7aaa5c195573fbd0e8388c9bc4a2ef/contracts/gov/GovStaking.sol,GovStaking.sol,function claimAll() public nonReentrant whenNotPaused {
SWC-100-Function Default Visibility,earned,L288 - l299,DAppSCAN-source/contracts/Hacken-GOGOcoin/gogo-contracts-0204c6d60f7aaa5c195573fbd0e8388c9bc4a2ef/contracts/gov/GovStaking.sol,GovStaking.sol,function earned() public view returns (uint256) {
SWC-135-Code With No Effects,N/A,L7,DAppSCAN-source/contracts/Hacken-GOGOcoin/gogo-contracts-0204c6d60f7aaa5c195573fbd0e8388c9bc4a2ef/contracts/gov/GovStakingStorage.sol,GovStakingStorage.sol,"import ""hardhat/console.sol"";"
SWC-120-Weak Sources of Randomness from Chain Attributes,AttemptToDistrubuteBonusPools,L96,DAppSCAN-source/contracts/Hacken-Green House/GHS-af12003ab8ff8b614e0e49cfd688f7e41df21ed0/contracts/GreenHouse.sol,GreenHouse.sol,_bonusPoolLastDistributedAt = block.timestamp;
SWC-120-Weak Sources of Randomness from Chain Attributes,AttemptToDistrubuteBonusPools,L98,DAppSCAN-source/contracts/Hacken-Green House/GHS-af12003ab8ff8b614e0e49cfd688f7e41df21ed0/contracts/GreenHouse.sol,GreenHouse.sol,_monthlyPoolLastDistributedAt = block.timestamp;
SWC-120-Weak Sources of Randomness from Chain Attributes,bonusRewardPoolCountdown,L209,DAppSCAN-source/contracts/Hacken-Green House/GHS-af12003ab8ff8b614e0e49cfd688f7e41df21ed0/contracts/GreenHouse.sol,GreenHouse.sol,uint256 timeSinceLastDistributed = block.timestamp - _bonusPoolLastDistributedAt;
SWC-120-Weak Sources of Randomness from Chain Attributes,monthlyRewardPoolCountdown,L216,DAppSCAN-source/contracts/Hacken-Green House/GHS-af12003ab8ff8b614e0e49cfd688f7e41df21ed0/contracts/GreenHouse.sol,GreenHouse.sol,uint256 timeSinceLastDistributed = block.timestamp - _monthlyPoolLastDistributedAt;
SWC-120-Weak Sources of Randomness from Chain Attributes,_maybeDistributeMonthlyRewardPool,L386,DAppSCAN-source/contracts/Hacken-Green House/GHS-af12003ab8ff8b614e0e49cfd688f7e41df21ed0/contracts/GreenHouse.sol,GreenHouse.sol,monthlyRewardPool -= amountToDistribute;
SWC-120-Weak Sources of Randomness from Chain Attributes,_maybeDistributeBonusRewardPool,L400,DAppSCAN-source/contracts/Hacken-Green House/GHS-af12003ab8ff8b614e0e49cfd688f7e41df21ed0/contracts/GreenHouse.sol,GreenHouse.sol,_bonusPoolLastDistributedAt = block.timestamp;
SWC-103-Floating Pragma,N/A,L3,DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol,IDO.sol,pragma solidity ^0.8.4;
SWC-135-Code With No Effects,N/A,L12 - L13,DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol,IDO.sol,"import ""@openzeppelin/contracts/token/ERC1155/presets/ERC1155PresetMinterPauser.sol"";"
SWC-105-Unprotected Ether Withdrawal,claim,L86 - L110,DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol,IDO.sol,function claim() external {
SWC-107-Reentrancy,claim,L86 - L110,DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol,IDO.sol,function claim() external {
SWC-104-Unchecked Call Return Value,claim,L97,DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol,IDO.sol,((pool[msg.sender].amountToClaim - pool[msg.sender].claimedAmount) >= allowedAmountToClaim)
